Date,Day,Open,High,Low,Close,Volume,Symbol,ReturnPct,Year,RSI,SMA_20,EMA_12,EMA_26,MACD,Signal_Line
24-04-2020,Friday,416,419.6499939,401.25,403.9500122,35773252,AXISBANK.NS,,2020,54.04,,403.9500122,403.9500122,0,0
24-04-2020,Friday,184,184,179,179.75,65137305,SBIN.NS,,2020,39.05,,369.4577026,387.3426039,-17.88490126,-3.576980252
24-04-2020,Friday,181,182.8000031,179.3000031,180.0500031,18049697,ITC.NS,,2020,57.02,,340.3180565,371.9875964,-31.66953987,-9.195492176
24-04-2020,Friday,89.97499847,90.40000153,88.57499695,88.875,9282278,WIPRO.NS,,2020,34.38,,301.6345094,351.016293,-49.3817836,-17.23275046
24-04-2020,Friday,2113.5,2113.5,1970.050049,1976.25,10494451,BAJFINANCE.NS,,2020,41.01,,559.2676618,471.403975,87.8636868,3.786536993
24-04-2020,Friday,668.5499878,675,654.7999878,658,7319940,INFY.NS,,2020,53.22,,574.4572523,485.2259028,89.23134952,20.8754995
24-04-2020,Friday,485.77948,489.8039246,475.5220642,485.1414795,12161869,BHARTIARTL.NS,,2020,65.54,,560.7163642,485.2196492,75.49671497,31.79974259
24-04-2020,Friday,480,496.8999939,465.1499939,468.1000061,6738184,HCLTECH.NS,,2020,57.57,,546.4676937,483.9515275,62.51616621,37.94302732
24-04-2020,Friday,5100,5140,5030,5045.649902,1070808,MARUTI.NS,,2020,62.4,,1238.649572,821.8551108,416.7944611,113.7133141
24-04-2020,Friday,2311,2338,2280,2283.100098,2169013,HINDUNILVR.NS,,2020,49.27,,1399.334268,930.0954802,469.238788,184.8184089
24-04-2020,Friday,838,869,834.1500244,851.2000122,7960368,LT.NS,,2020,57.22,,1315.005921,924.2513715,390.7545497,226.005637
24-04-2020,Friday,337.8999939,343.25,331.5,334.8500061,38513206,ICICIBANK.NS,,2020,52.19,,1164.212703,880.5920111,283.6206924,237.5286481
24-04-2020,Friday,933,958.4000244,926,938.0499878,16642284,HDFCBANK.NS,,2020,59.75,,1129.418439,884.8481575,244.570282,238.9369749
24-04-2020,Friday,1840.699951,1851.949951,1807.800049,1818.550049,2987102,TCS.NS,,2020,49.56,,1235.438687,954.0112606,281.4274265,247.4350652
